Blaxland Station,277410,150.6095957,-33.74357659,10101256,02 4739 1620,"Station St, Blaxland",2001|2002|2003|2004|2006|2015|2007|2008|2009|2010|2011,3001|3003|3005|3008|3009|3011|3017,1001|1002|1005
Bomaderry Station,254110,150.6098088,-34.85377666,10101389,02 4423 0141,"Meroo St, Bomaderry",2001|2002|2003|2004|2006|2007|2008|2009|2011|2013,3001|3003|3009|3011,1001|1002|1005
Bombo Station,253320,150.8539755,-34.6580285,10101385,02 4223 5613,"Princes Hwy, Bombo",2003|2004|2006|2007|2009,3001|3008|3009|3011,1001|1005
Bondi Junction Station,202210,151.2483843,-33.89120228,10101109,02 9379 4843,"Grafton St, Bondi Junction",2001|2002|2003|2004|2006|2015|2007|2008|2009|2010|2012|2013,3001|3002|3003|3005|3006|3008|3009|3011,1001|1002|1005
Booragul Station,228410,151.6046902,-32.97142254,10101152,02 4962 9437,"Station St, Booragul",2004|2007|2009,3008|3010|3011|3016,1001
Bowral Station,257610,150.4166585,-34.47812317,10101306,02 4861 2045,"Station St, Bowral",2002|2003|2004|2005|2006|2015|2007|2008|2009|2011|2013,3001|3003|3005|3008|3009|3011,1001|1002|1005
Branxton Station,233510,151.3456449,-32.66225215,10101189,02 6543 1018,"Railway St, Branxton",2003|2004,3008|3010|3011|3020,1001
Broadmeadow Station,229210,151.734686,-32.92301689,10101160,02 4962 9122,"Graham Rd, Broadmeadow",2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,3003|3008|3010|3011|3017,1001|1010|1002|1005
Bullaburra Station,278410,150.4146074,-33.72360616,10101265,02 4759 1052,"Great Western Hwy, Bullaburra",2003|2004|2006|2007,3008|3010|3011|3017,1001|1002
Bulli Station,251610,150.9147439,-34.33448098,10101365,02 4223 5577,"Railway St, Bulli",2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,3001|3005|3011,1001|1002|1005
Bundanoon Station,257810,150.2987371,-34.65613474,10101310,02 4868 1115,"Railway Ave, Bundanoon",2003|2004|2007|2008|2009|2011,3004|3010|3011,1001|1002
Burradoo Station,257620,150.3983388,-34.49401919,10101307,02 4861 2045,"Station St, Burradoo",2004|2006|2009,3004|3010|3011|3015,1001
Burwood Station,213410,151.1047622,-33.87731465,10101207,02 9752 8734,"Railway Pde, Burwood",2004|2005|2006|2015|2007|2008|2011,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Cabramatta Station,216620,150.9388206,-33.89486655,10101287,02 9765 1234,"Railway Pde, Cabramatta",2003|2004|2005|2006|2015|2007|2008|2009|2011|2013,3001|3003|3005|3006|3009|3011,1001|1002|1005
Camellia Station,214210,151.0243009,-33.81873435,10101222,02 9848 9212,"Grand Ave, North Camellia",2003|2004|2005|2006|2007|2010,3003|3004|3010|3011,1001
Campbelltown Station,256020,150.813929,-34.06383549,10101296,02 4629 0721,"Hurley St, Campbelltown",2001|2002|2003|2004|2005|2006|2014|2007|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Campsie Station,219410,151.1026308,-33.91048116,10101396,02 9718 3020,"Beamish St, Campsie",2002|2003|2004|2005|2006|2014|2007|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Canley Vale Station,216610,150.943987,-33.88679793,10101286,02 9765 1102,"Railway Pde, Canley Vale",2003|2004|2005|2008|2009,3006|3008|3010|3011,1001|1002
Canterbury Station,219320,151.1182133,-33.91167214,10101395,02 9563 7678,"Canterbury Rd, Canterbury",2001|2002|2004|2005|2006|2015|2007|2008,3003|3008|3009|3010|3011,1001|1002
Cardiff Station,228520,151.6629801,-32.94182388,10101157,02 4962 9437,"Main Rd, Cardiff",2002|2003|2004|2005|2006|2007|2009|2011,3001|3003|3005|3008|3009|3011,1001|1002|1005
Caringbah Station,222910,151.1227476,-34.04161039,10101349,02 9522 1249,"The Kingsway, Caringbah",2004|2006|2015|2007|2008|2011,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Carlingford Station,211810,151.0470507,-33.78220108,10101226,02 9848 9025,"Lloyds Ave, Carlingford",2003|2004|2005|2006|2007|2008|2009|2011,3001|3003|3009|3011,1001|1002
Carlton Station,221810,151.1243369,-33.96826632,10101337,02 9563 7612,"Railway Pde, Carlton",2004|2005|2006|2015|2007|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Carramar Station,216330,150.9615486,-33.88431779,10101408,02 9765 1168,"Wattle Ave, Carramar",2003|2004|2005|2006|2015|2008|2009,3003|3008|3009|3010|3011,1001
Casula Station,217030,150.911946,-33.94981838,10101290,02 9765 1655,"Rushton Pl, Casula",2003|2004|2007|2009,3001|3005|3006|3008|3009|3011,1001
Central Station,200060,151.2058293,-33.88388163,10101100,02 9379 1777,"Eddy Ave, Haymarket",2004|2005|2006|2015|2007|2008|2009|2010|2012|2013,3001|3002|3003|3005|3006|3008|3009|3011,1001|1002|1004|1005
Chatswood Station,206710,151.1808207,-33.79713406,10101117,02 9379 3311,"Cnr Railway St & Victoria Ave, Chatswood",2001|2002|2004|2005|2006|2015|2007|2008|2010|2012|2013,3001|3002|3003|3005|3006|3008|3009|3011,1001|1002|1005
Cheltenham Station,211920,151.0788513,-33.75586837,10101198,02 9847 8417,"Sutherland Rd, Cheltenham",2002|2003|2004|2005|2006|2015|2007|2008|2009,3003|3008|3009|3010|3011,1001
